;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
7508;BG29020;43.1231;27.5983;SINDEL RAZPREDELITELNA;BG29020;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7529;BG29022;43.169;27.6242;RAZDELNA;BG29022;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7549;BG29023;43.1943;27.6401;POVELJANOVO;BG29023;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7042;BG29025;43.1988;27.7062;BELOSLAV;BG29025;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7047;BG29028;43.203;27.7858;EZEROVO;BG29028;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7056;BG29029;43.2003;27.8106;TOPOLITE;BG29029;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7062;BG29030;43.1983;27.912;VARNA;BG29030;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7086;BG29101;43.1661;27.6341;VARNA FERIBOTNA;BG29101;Bulgaria;2016-12-07 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
8166;BG29701;43.2177;27.5962;DEVNIA;BG29701;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8177;BG29704;43.3341;27.5851;SUVOROVO;BG29704;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8094;BG29705;43.4048;27.5589;VALCHI DOL;BG29705;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8099;BG29710;43.5662;27.8155;DOBRICH;BG29710;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8103;BG29711;43.5916;27.84;DOBRICH SEVER;BG29711;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8207;BG29716;43.753;28.1146;KARDAM;BG29716;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5708;BG29922;43.1801;27.622;RP RAZDELNA;BG29922;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6075;BG32002;42.7833;23.3814;SVETOVRACHANE;BG32002;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6079;BG32005;42.7516;23.4856;KREMIKOVTCI;BG32005;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6087;BG32007;42.7262;23.5513;YANA;BG32007;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
